Review	Liked
The place here is terrible and not worth the money. The restaurant was cold too.	0
What a great place, the bread exceeded expectations.	1
Such a bland experience with the food. The salad was terrible too.	0
Would not recommend, the bread was disappointing.	0
The chef here is noisy and not worth the money.	0
excellent food and a great atmosphere overall. The restaurant was tasty too.	1
I hated the cold steak here. The dessert was dirty too.	0
The salad was stale.	0
cold bread and a poor atmosphere overall. The pasta was unfriendly too.	0
Such a impressive experience with the dessert.	1
The service here is overpriced and not worth the money.	0
cold pizza and a poor atmosphere overall. The dessert was rude too.	0
Such a dirty experience with the dessert.	0
Absolutely unfriendly staff, never coming back.	0
We really enjoyed the excellent pizza tonight. The bread was fresh too.	1
Such a awful experience with the steak.	0
The steak here is friendly and worth every penny. The soup was outstanding too.	1
flavorful menu and a great atmosphere overall.	1
The chef here is wonderful and worth every penny. The bread was charming too.	1
noisy burger and a poor atmosphere overall.	0
Such a superb experience with the ambience.	1
We really regretted the soggy restaurant tonight. The service was cold too.	0
excellent restaurant and a great atmosphere overall.	1
What a friendly place, the ambience exceeded expectations.	1
Highly recommend, the coffee was perfect.	1
Highly recommend, the food was fantastic.	1
The steak here is fantastic and worth every penny.	1
The chef here is amazing and worth every penny.	1
I loved the cozy waiter here.	1
What a cozy place, the pasta exceeded expectations. The dessert was excellent too.	1
The bread was soggy.	0
I hated the terrible sushi here.	0
The pasta was fresh. The soup was great too.	1
I loved the flavorful staff here.	1
Absolutely wonderful bread, will come back again.	1
The bread here is rude and not worth the money.	0
Such a quick experience with the salad.	1
greasy menu and a poor atmosphere overall.	0
Would not recommend, the dessert was bad.	0
I hated the overpriced pizza here. The soup was burnt too.	0
Such a noisy experience with the pizza. The service was overpriced too.	0
Worst staff I've had in a long time, truly awful. The pizza was stale too.	0
Highly recommend, the sushi was tasty. The soup was impressive too.	1
We really enjoyed the fresh sushi tonight.	1
I loved the fantastic menu here.	1
quick dessert and a great atmosphere overall.	1
The service was fantastic.	1
Such a cold experience with the steak. The bread was bad too.	0
Absolutely quick restaurant, will come back again. The pizza was great too.	1
I loved the charming chef here. The bread was amazing too.	1
Absolutely overpriced staff, never coming back.	0
tasty sushi and a great atmosphere overall.	1
The waiter was horrible.	0
The burger here is generous and worth every penny.	1
Absolutely underwhelming bread, never coming back. The menu was awful too.	0
The soup was charming.	1
What a delicious place, the service exceeded expectations.	1
The coffee was rude.	0
I hated the rude staff here.	0
I hated the horrible pizza here.	0
What a overpriced place, the soup fell far short.	0
bland salad and a poor atmosphere overall.	0
Worst soup I've had in a long time, truly soggy.	0
Such a tasteless experience with the menu. The restaurant was greasy too.	0
I hated the tasteless chef here. The salad was noisy too.	0
Highly recommend, the place was great. The burger was wonderful too.	1
Such a great experience with the dessert. The waiter was generous too.	1
What a greasy place, the bread fell far short.	0
Highly recommend, the coffee was amazing. The place was wonderful too.	1
I loved the fantastic burger here.	1
The restaurant here is perfect and worth every penny.	1
The steak here is tasty and worth every penny.	1
I hated the awful burger here.	0
The burger was delicious. The restaurant was perfect too.	1
Would not recommend, the waiter was bad.	0
I loved the amazing bread here. The restaurant was charming too.	1
What a superb place, the service exceeded expectations.	1
The waitress was wonderful. The service was superb too.	1
I hated the overpriced menu here. The bread was mediocre too.	0
Such a wonderful experience with the salad.	1
The waiter was mediocre. The steak was mediocre too.	0
Absolutely perfect pizza, will come back again.	1
The place was horrible.	0
We really enjoyed the tasty pizza tonight. The pizza was fresh too.	1
disappointing food and a poor atmosphere overall. The staff was stale too.	0
soggy dessert and a poor atmosphere overall.	0
The bread was outstanding. The burger was excellent too.	1
The soup was stale. The waitress was dirty too.	0
What a quick place, the steak exceeded expectations.	1
What a friendly place, the place exceeded expectations. The service was quick too.	1
Highly recommend, the food was cozy.	1
superb menu and a great atmosphere overall. The steak was delightful too.	1
The steak here is fantastic and worth every penny.	1
outstanding waitress and a great atmosphere overall.	1
Such a wonderful experience with the bread.	1
What a excellent place, the ambience exceeded expectations.	1
The ambience was charming. The menu was quick too.	1
Best soup I've had in a long time, truly delightful.	1
Highly recommend, the chef was tasty.	1
The waiter here is bland and not worth the money.	0
I hated the tasteless salad here.	0
Such a lovely experience with the pizza.	1
The restaurant was amazing. The sushi was delightful too.	1
generous staff and a great atmosphere overall.	1
tasty soup and a great atmosphere overall.	1
The pizza was wonderful.	1
Such a quick experience with the place. The coffee was generous too.	1
Such a charming experience with the service.	1
Absolutely generous place, will come back again.	1
What a burnt place, the coffee fell far short. The chef was unfriendly too.	0
Highly recommend, the coffee was quick.	1
We really regretted the underwhelming waiter tonight. The pizza was stale too.	0
Such a flavorful experience with the coffee. The staff was lovely too.	1
Best pizza I've had in a long time, truly perfect. The bread was great too.	1
Such a slow experience with the restaurant. The restaurant was disappointing too.	0
quick staff and a great atmosphere overall. The chef was quick too.	1
disappointing service and a poor atmosphere overall. The soup was terrible too.	0
We really enjoyed the friendly soup tonight. The dessert was lovely too.	1
Highly recommend, the ambience was quick.	1
Such a unfriendly experience with the bread.	0
